task	studentID	mean	std	min	perc25	perc50	perc75	max
story1	SMVCS	43.683	58.475	-0.911	0.036	0.157	103.095	161.277
story1	XSWMB	20.126	28.433	-0.735	0.037	0.106	44.354	82.934
story1	YVBRP	36.044	46.197	-0.575	0.063	0.189	82.344	125.86
story1	Z2BYD	25.07	34.189	-0.29	0.021	0.133	54.873	99.259
story1	ZDPNZ	34.812	43.134	-0.418	0.032	0.092	72.751	123.247
story2	QPPY5	28.261	38.76	-0.475	0.043	0.157	51.138	116.869
story2	VJCMQ	49.269	62.552	-1.698	-0.025	10.688	95.278	180.425
story2	YWPWY	32.702	40.097	-0.589	0.082	4.406	63.18	118.21
story2	Z2BYD	22.066	30.078	-0.417	0.048	0.144	44.282	88.33
story2	ZMQG2	29.189	35.612	-0.974	0.059	2.895	61.686	100.34
story2	ZQV5W	37.103	42.861	-0.866	0.09	11.832	77.714	115.074
story3	QTB2S	27.402	34.438	-0.346	0.046	0.124	60.183	94.942
story3	WHHXX	61.804	67.662	-1.904	0.052	24.105	120.719	177.816
story3	YVBRP	38.917	47.533	-0.317	0.075	8.377	79.426	133.645
story3	YWPWY	43.89	52.67	-117.871	0.054	12.146	93.063	141.099
story3	ZNNGY	45.239	53.534	-2.01	0.034	0.612	90.101	146.916
story3	ZPGND	38.314	44.492	-0.631	0.042	4.897	79.841	123.774